Bank;Branch;Sub-Branch
Garanti;Personal Banking;Personal Banking Marketing
Garanti;Personal Banking;Mass Banking Marketing
Garanti;Personal Banking;Private Banking Marketing
Garanti;SME Banking;Middle-Large Business SME
Garanti;SME Banking;Small Business Banking
Garanti;Commercial Banking;Commercial Banking İstanbul Marketing
Garanti;Commercial Banking;Commercial Banking Anatolia Marketing
Garanti;Commercial Banking;Consumer Financing
Garanti;Corporate and Investment Banking;Corporate Banking
Garanti;Corporate and Investment Banking;Global Markets
Garanti;Corporate and Investment Banking;Cash Management and Operation Banking
Garanti;Corporate and Investment Banking;Financial Institutions
Garanti;Corporate and Investment Banking;Project Financing
Garanti;Corporate and Investment Banking;Corporate Banking Strategy Analysis and Coordination
Garanti;HR and Support Services;HR
Garanti;HR and Support Services;Training
Garanti;HR and Support Services;Construction 
Garanti;HR and Support Services;Procurement
Garanti;HR and Support Services;Corporate Safety
Garanti;Customer Solutions and Digital Banking;Digital Banking
Garanti;Customer Solutions and Digital Banking;Legal Digital Banking
Garanti;Customer Solutions and Digital Banking;Corporate Brand Management and Marketing Communicaitons
Garanti;Customer Solutions and Digital Banking;Customer Experience
Garanti;Customer Solutions and Digital Banking;Insurance and Retirement
Garanti;Customer Solutions and Digital Banking;Customer Analytics, Inovation and Product Development
Garanti;Engineering Services and Data;Organization and Process Development
Garanti;Engineering Services and Data;Safe Operations
Garanti;Engineering Services and Data;Technology Center
Garanti;Engineering Services and Data;Data and Business Analytics
Garanti;Treasury;Active/Passive Management
Garanti;Compliance and Internal Control;Financial Planning and Analysis
Garanti;Compliance and Internal Control;Expense Management and Productivity
Garanti;Treasury;Investor Relations
Garanti;Compliance and Internal Control;Financial Reporting and Accounting
Garanti;Treasury;International Accounting
Garanti;Compliance and Internal Control;Tax Procuderes Management
Garanti;Compliance and Internal Control;BBVA Finance Coordination
Garanti;Treasury;Credit Card, Member Business Coordination
Garanti;Law Services and Collection;Law Concultancy Services
Garanti;Law Services and Collection;Litigation Services
Garanti;Law Services and Collection;Case Services
Garanti;Law Services and Collection;Law Operations Services
Garanti;Law Services and Collection;Personal Products Collection
Garanti;Law Services and Collection;Commercial Products Collection
Garanti;Credit Risk Management;Corporate and Special Credits
Garanti;Credit Risk Management;Commercial Credits
Garanti;Credit Risk Management;Bank and Country Risk
Garanti;Credit Risk Management;Personal Credit Risk Strategy
Garanti;Credit Risk Management;SME Credit Risk Strategy
Garanti;Credit Risk Management;Personal and SME Credit Evaluation
Garanti;Credit Risk Management;Exchange Rate, Credits and Project Financing Configuration
Garanti;Credit Risk Management;Commercial Credits Configuration
Garanti;Credit Risk Management;Risk Planning, Monitoring and Reporting
Garanti;Credit Risk Management;Risk Analytics, Technology and Inovation
Garanti;Credit Risk Management;Regional Credit Coordination
İşbank;Engineering Services and Data;Information Technologies 
İşbank;Engineering Services and Data;Digital Banking Operations 
İşbank;Engineering Services and Data;Data Management 
İşbank;Personal Banking;Retail Banking Product/Sales/Marketing 
İşbank;Personal Banking;Retail Loan & Card Operations 
İşbank;Personal Banking;Consumer Loans 
İşbank;Personal Banking;Digital Banking 
İşbank;Personal Banking;Card Payment Systems
İşbank;Compliance and Internal Control;Financial Management 
İşbank;Compliance and Internal Control;Strategy and Corporate Performance Management 
İşbank;Compliance and Internal Control;Managerial Reporting and Internal Accounting
İşbank;Compliance and Internal Control;Subsidiaries 
İşbank;Credit Risk Management;Consumer-SME-Commercial-Corporate Loans Underwriting
İşbank;Credit Risk Management;Financial Analysis and Credit Information 
İşbank;HR and Support Services;Human Resources Management 
İşbank;HR and Support Services;Enterprise Architecture 
İşbank;HR and Support Services;Talent Management 
İşbank;SME Banking;SME Banking Sales 
İşbank;Commercial Banking;Commercial Banking Marketing/Product 
İşbank;Treasury;Treasury 
İşbank;Treasury;Economic Research 
İşbank;Corporate and Investment Banking;International Financial Institutions 
İşbank;Corporate and Investment Banking;Investor Relations 
İşbank;Law;Commercial Banking Legal Counsellorship
İşbank;Law;Retail Banking and General Deliberation Legal Counsellorship
İşbank;Law;Retail Loans Monitoring & Recovery Division
İşbank;Law;Commercial & Corporate Loans Monitoring & Recovery Division
İşbank;Law;Credits Portfolio Management 
İşbank;Corporate and Investment Banking;Corporate Banking Marketing and Sales
İşbank;Commercial Banking;Free Zone Branches
İşbank;Commercial Banking;Commercial Banking Sales
İşbank;Commercial Banking;Branches Abroad and Foreign Representative Offices
İşbank;Commercial Banking;Banking Operations & Payment Operations
İşbank;Commercial Banking;Support Services 
İşbank;Commercial Banking;Foreign Trade & Commercial Loan Operations 
İşbank;Commercial Banking;Internal Operations 
İşbank;HR and Support Services;Construction & Real Estate Management 
İşbank;HR and Support Services;Procurement 
İşbank;Personal Banking;Retail Loan & Card Operations
İşbank;Personal Banking;Card Payment Systems Division
İşbank;Personal Banking;Private Banking Marketing & Sales
İşbank;Corporate and Investment Banking;Capital Markets
Akbank;Personal Banking;-
Akbank;Strategy, Digital Banking and Payment Systems;-
Akbank;Corporate and Investment Banking;-
Akbank;Credit Tracking;-
Akbank;Technology and Operation;-
Akbank;Commercial Banking;-
Akbank;Financial Management;-
Akbank;Private Banking and Investment Services;-
Akbank;Credit Collection;-
Akbank;Special Credits;-
Akbank;Treasury;-
Akbank;Human Resources;-
QNB Finansbank;Financial Control and Planning;-
QNB Finansbank;Internal Control;-
QNB Finansbank;Law;-
QNB Finansbank;Corporate and Commercial Credits;-
QNB Finansbank;Human Resources;-
QNB Finansbank;Enpara;-
QNB Finansbank;Inovation and Startups;-
QNB Finansbank;Commercial Banking and Project Financing;-
QNB Finansbank;Retail and Private Banking;-
QNB Finansbank;Retail and SME Banking;-
QNB Finansbank;Retail and Commercail Credits;-
QNB Finansbank;Treasury;-
QNB Finansbank;IT, Operation, Channels and Business Development ;-
QNB Finansbank;Payment Systems;-
QNB Finansbank;Corporate and Commercial Banking;-
QNB Finansbank;Risk Management;-
QNB Finansbank;Corporate Banking;-
TEB;Retail and Private Banking;-
TEB;Financial Affairs;-
TEB;Corporate Credits;-
TEB;Retail and Commercail Credits;-
TEB;Law ;-
TEB;IT;-
TEB;Banking Operations and Support Services;-
TEB;Inspection;-
TEB;Compliance, Internal Control Consumer Relations Coordination;-
TEB;Financial Markets;-
TEB;Group Risk Management;-
TEB;SME Credits;-
TEB;Corporate Investment;-
TEB;Treasury;-
TEB;Corporate Banking;-
TEB;SME Banking;-